Date,Open,High,Low,Close,Volume,Market Cap
01-10-2022,19431.10494591723,19471.15486711021,19231.0818744273,19312.094732131416,18719537669.88,370142714486.9
30-09-2022,19573.431421230798,20109.85030130757,19265.66239970878,19431.78944659943,43975248084.73,372414733487.45
29-09-2022,19427.780190523128,19589.26621148917,18924.353453070675,19573.05031400065,41037843771.3,375100872175.06
28-09-2022,19104.620789502645,19688.344373336102,18553.297357607673,19426.721331678913,53071298733.51,372279603227.33
27-09-2022,19221.84071275122,20338.455461136455,18915.668722274404,19110.546550991752,58571439618.96,366202733264.3
26-09-2022,18803.90063289787,19274.87349825737,18721.285851353183,19222.67218417039,44148798320.6,368335944295.86
25-09-2022,18936.31151524196,19134.73319426829,18696.46830381677,18802.097975676545,23359966112.45,360259346858.07
24-09-2022,19296.990703569038,19310.19760761166,18861.973998958467,18937.01117567154,26149643167.68,362826506171.96
23-09-2022,19412.39992542163,19464.67234839256,18617.55300989774,19297.637840008694,38896078052.07,369718966324.75
22-09-2022,18534.64959547727,19456.91090106223,18415.591496855097,19413.55162082187,41135767926.23,371923967755.44
21-09-2022,18891.282889531798,19674.630331478547,18290.31518822502,18547.39975982615,46363793974.56,355314855623.96
20-09-2022,19545.591275415263,19602.45674588385,18813.455010972895,18890.78909636913,36791346508.26,361876433047.07
19-09-2022,19418.571421509565,19639.47973254867,18390.3187095743,19544.12924967429,40177002623.56,374373522207.39
18-09-2022,20127.23394762749,20127.23394762749,19387.491347831052,19419.506190766973,31254779143.63,371970445843.4
17-09-2022,19777.03402833151,20162.532021771345,19777.03402833151,20127.576657178884,24957448100.3,385513277844.78
16-09-2022,19704.005440526256,19870.62976581665,19400.075449303535,19772.58420556779,30123362272.94,378693173324.34
15-09-2022,20242.289908387913,20318.166391880794,19636.733774286808,19701.209962566052,36389011503.32,377311288517.09
14-09-2022,20184.555325164954,20467.201432782444,19793.396718166267,20241.089801830654,37872380889,387631908834.78
13-09-2022,22371.48063978407,22673.819766285604,20062.670699488786,20296.70781387527,51091116621.52,388682319976.46
12-09-2022,21770.14813305873,22439.181008979318,21603.895779278708,22370.448649932,50212088965.2,428373958242.42
11-09-2022,21678.543569706628,21770.55319063439,21406.944641111553,21769.256339556683,34493951963.3,416840289162.08
10-09-2022,21376.91171453879,21760.275770575212,21168.721721800943,21680.53941342801,36913738894.15,415117548315.38
09-09-2022,19328.139929463316,21439.409317162346,19310.962575438858,21381.15285528657,48469528170.65,409363809141.16
08-09-2022,19289.940569121,19417.35159322524,19076.714523463485,19329.834933426577,32194477849.95,370071738762.96
07-09-2022,18837.683320773453,19427.172670784956,18644.467227058507,19290.32387359376,35239757133.88,369299496559.04
06-09-2022,19817.724065572373,20155.268716860086,18800.171655066068,18837.66771237502,43403978910.41,360616650169.4
05-09-2022,19988.789818433175,20031.160251574245,19673.04733875358,19812.37147875423,28813460025.44,379258182345.46
04-09-2022,19832.47129556646,19999.689645047867,19636.81657365489,19986.713839219963,25245861651.62,382576542382.13
03-09-2022,19969.718346916892,20037.010648596926,19698.35519233295,19832.08772933853,23613051457.08,379595440556.6
02-09-2022,20126.072780901522,20401.56763327601,19814.766048983613,19969.771177460185,29123998927.55,382212933183.84
01-09-2022,20050.498669841865,20198.391198499645,19653.968458882307,20127.140269430896,30182031009.86,385208305831.58
31-08-2022,19799.581315787203,20420.990420175203,19799.581315787203,20049.76318937261,33225232872.06,383710102294.98
30-08-2022,20298.61208082999,20542.644969647983,19617.64095004422,19796.80940241047,34483360282.77,378850670474.32
29-08-2022,19615.153362859797,20357.463233457594,19600.785034825636,20297.994635306477,32637854077.72,388422039679.33
28-08-2022,20041.03480395418,20139.05423328289,19616.814984443863,19616.814984443863,24366810590.82,375367382007.85
27-08-2022,20262.480311022402,20340.774563673953,19890.523328250318,20041.73845305508,30116729775.56,383478483268.59
26-08-2022,21596.085314556974,21804.908008099064,20199.48338389128,20260.018649424077,42326789563.56,387636192940.59
25-08-2022,21395.458389989148,21789.636836285154,21362.441259908275,21600.905141669937,31028679593,413267825941.47
24-08-2022,21526.455593085484,21783.07572274634,21195.006694910768,21395.02007149252,31962253368.02,409308514098.09
23-08-2022,21401.045669959727,21646.203761836543,20955.138156081837,21528.08737168398,31878280659.1,411833237128.08
22-08-2022,21531.46384880662,21531.46384880662,20939.18417270787,21398.9083503016,31666498757.58,409340103013.27
21-08-2022,21160.392783176445,21668.84590773835,21103.196808425557,21534.121230814173,23102307723.19,411906673576.29
20-08-2022,20872.842173501398,21350.806299165055,20856.731335579087,21166.060396104986,27595671000.41,404848126556.26
19-08-2022,23213.31324159989,23213.31324159989,20868.84743863899,20877.553692219353,40509610259.78,399309311305.82
18-08-2022,23341.038978010583,23563.831593730618,23177.602469968748,23212.739077042832,23747613147.14,443947256035.75
17-08-2022,23881.315512357407,24407.0579067141,23243.3544559916,23335.99822236052,30931623076.08,446283604019.97
16-08-2022,24126.136482577618,24228.415611524542,23733.499329500355,23883.290546734555,27753685645.65,456730745422.92
15-08-2022,24318.31548303852,25135.590396068576,23839.77497510362,24136.972424664084,35123501684.8,461560003436.79
14-08-2022,24429.05743708156,24974.914208849306,24206.259772394627,24319.333922599963,22994133555.22,465024405299.05
13-08-2022,24402.18747061798,24860.050358193625,24346.114712721206,24424.06783115068,22987346288.83,467007252128.58
12-08-2022,23957.20306053137,24412.566105595215,23657.265304318324,24402.818505755808,27265804687.74,466578839477.74
11-08-2022,23948.34612720597,24822.62968261603,23900.996865780264,23957.530194268213,37127036580.1,458043109398.07
10-08-2022,23162.89884942404,24127.414416091215,22771.520469828967,23947.643425349972,32837431721.55,457833729141.91
09-08-2022,23811.483521591905,23898.615369544197,22981.999927379937,23164.317986281327,23555719218.86,442835162483.49
08-08-2022,23179.527049985405,24203.6888656304,23176.547253281602,23809.487114518823,28575544847.49,455148536623.69
07-08-2022,22963.506243621858,23359.00907631459,22894.556235250388,23175.89084908056,15886817042.79,443014963855.4
06-08-2022,23291.42406079369,23326.561622217032,22961.278967129132,22961.278967129132,15978259884.75,438890198160.7
05-08-2022,22626.833391275144,23422.827696113807,22612.178514574123,23289.314277414138,28881249043.31,445137234251.88
04-08-2022,22848.214384500436,23198.01010723992,22485.700655571534,22630.956732133352,25120229769.19,432532599006.89
03-08-2022,22981.302705754573,23578.65044450395,22747.836440439187,22846.50705797548,26288169966.18,436633304289.21
02-08-2022,23308.43417279304,23415.04132917102,22710.083979637155,22978.116592947506,28389250717.43,439128030641.55
01-08-2022,23336.71805186043,23464.78627722442,22890.796021169328,23314.199432537094,25849159140.74,445527356895.96
31-07-2022,23652.069662121907,24121.64257825973,23275.702500450712,23336.895604984285,23553591896.25,445941074223.04
30-07-2022,23796.81861062155,24572.579421746883,23580.508484479444,23656.207025584175,28148218300.58,452020722098.65
29-07-2022,23845.212373894152,24294.78645683116,23481.173139669118,23804.633234567213,35887249745.78,454837507676.2
28-07-2022,22933.641248968772,24110.469919684925,22722.265123275796,23843.88620773817,40212386157.74,455565748691.77
